K,Mode,Time,ObjFun
4,3,0.006993,683.626953
4,0,0.000070,683.626953
4,1,0.002394,683.626953
4,2,0.002506,683.626953
4,3,0.008979,683.626953
4,0,0.000064,683.626953
4,1,0.002349,683.626953
4,2,0.002476,683.626953
4,3,0.006745,683.626953
4,0,0.000058,683.626953
4,1,0.002987,683.626953
4,2,0.002462,683.626953
4,3,0.009614,683.626953
4,0,0.000167,683.626953
4,1,0.000465,683.626953
4,2,0.002546,683.626953
4,3,0.002519,683.626953
4,0,0.000060,683.626953
4,1,0.000447,683.626953
4,2,0.002320,683.626953
4,3,0.002527,683.626953
4,0,0.000067,67.536232
4,1,0.002773,67.536232
4,2,0.002639,67.536232
4,3,0.004193,67.536232
4,0,0.000063,67.536232
4,1,0.002716,67.536232
4,2,0.002574,67.536232
4,3,0.002541,67.536232
4,0,0.000072,679.190125
4,1,0.002415,679.190125
4,2,0.003827,679.190125
4,3,0.004552,679.190125
4,0,0.000089,679.190125
4,1,0.002075,679.190125
4,2,0.003919,679.190125
4,3,0.015506,679.190125
4,0,0.000089,679.190125
4,1,0.002018,679.190125
4,2,0.003864,679.190125
4,3,0.003843,679.190125
4,0,0.000065,683.626953
4,1,0.002425,683.626953
4,2,0.002388,683.626953
4,3,0.002594,683.626953
4,0,0.000063,683.626953
4,1,0.002200,683.626953
4,2,0.003287,683.626953
4,3,0.002870,683.626953
4,0,0.000053,683.626953
4,1,0.002081,683.626953
4,2,0.002681,683.626953
4,3,0.002588,683.626953
4,0,0.000045,683.626953
4,1,0.001016,683.626953
4,2,0.002616,683.626953
4,3,0.005019,683.626953
4,0,0.000081,683.626953
4,1,0.000441,683.626953
4,2,0.002542,683.626953
4,3,0.009340,683.626953
4,0,0.000084,1799.133545
4,1,0.000467,1799.133545
4,2,0.003170,1799.133545
4,3,0.003452,1799.133545
4,0,0.000093,1799.133545
4,1,0.002646,1799.133545
4,2,0.003329,1799.133545
4,3,0.002613,1799.133545
4,0,0.000053,1799.133545
4,1,0.002952,1799.133545
4,2,0.003225,1799.133545
4,3,0.004686,1799.133545
4,0,0.000091,683.626892
4,1,0.000416,683.626892
4,2,0.003945,683.626892
4,3,0.002183,683.626892
4,0,0.000049,683.626892
4,1,0.002336,683.626892
4,2,0.002346,683.626892
4,3,0.008050,683.626892
4,0,0.000096,679.190125
4,1,0.001594,679.190125
4,2,0.002533,679.190125
4,3,0.003891,679.190125
4,0,0.000144,679.190125
4,1,0.000436,679.190125
4,2,0.002465,679.190125
4,3,0.005254,679.190125
4,0,0.000119,679.190125
4,1,0.003746,679.190125
4,2,0.002605,679.190125
4,3,0.003563,679.190125
4,0,0.000106,679.599182
4,1,0.002393,679.599182
4,2,0.003121,679.599182
4,3,0.002741,679.599182
4,0,0.000108,679.599182
4,1,0.000553,679.599182
4,2,0.003329,679.599182
4,3,0.002725,679.599182
4,0,0.000079,67.536240
4,1,0.002637,67.536240
4,2,0.003498,67.536240
4,3,0.002613,67.536240
4,0,0.000133,67.536240
4,1,0.000474,67.536240
4,2,0.003566,67.536240
4,3,0.002772,67.536240
4,0,0.000091,67.536240
4,1,0.002105,67.536240
4,2,0.003464,67.536240
4,3,0.005043,67.536240
5,0,0.000162,63.797543
5,1,0.000457,63.797543
5,2,0.003770,63.797543
5,3,0.009958,63.797543
5,0,0.000150,63.797543
5,1,0.000451,63.797543
5,2,0.003862,63.797543
5,3,0.004092,63.797543
5,0,0.000058,67.536240
